Epsilon,net_type,net_id,Accuracy,Loss
0.0,shallow,0.0,0.9725,0.09603076654841636
0.0,deep,0.0,0.9747,0.09026299393493875
0.0,very_deep,0.0,0.9731,0.10481067808560401
0.0,shallow,1.0,0.9701,0.10053412711541816
0.0,deep,1.0,0.9727,0.09064784492687801
0.0,very_deep,1.0,0.9702,0.12282351199130226
0.0,shallow,2.0,0.9706,0.1075099002271661
0.0,deep,2.0,0.9736,0.09076764578706968
0.0,very_deep,2.0,0.9722,0.10829358571809598
0.05,shallow,0.0,0.3462,3.3308626694453283
0.05,deep,0.0,0.4764,2.523742599121429
0.05,very_deep,0.0,0.554,2.5330600478165013
0.05,shallow,1.0,0.3573,3.316698447907904
0.05,deep,1.0,0.4854,2.357028384054864
0.05,very_deep,1.0,0.4827,3.4618344951739397
0.05,shallow,2.0,0.353,3.15747806159523
0.05,deep,2.0,0.4137,2.910881506304584
0.05,very_deep,2.0,0.4914,2.919856839381705
0.1,shallow,0.0,0.0544,9.921542682355234
0.1,deep,0.0,0.065,7.513031004779479
0.1,very_deep,0.0,0.0645,7.889470601325424
0.1,shallow,1.0,0.0499,9.7677787957953
0.1,deep,1.0,0.1036,6.5191897085708215
0.1,very_deep,1.0,0.1042,6.675568147857358
0.1,shallow,2.0,0.0401,9.843521009850145
0.1,deep,2.0,0.0837,7.564814590372061
0.1,very_deep,2.0,0.1,7.269995574416138
0.15,shallow,0.0,0.0125,14.983872264051646
0.15,deep,0.0,0.0205,12.430169488141722
0.15,very_deep,0.0,0.0216,13.575734605433198
0.15,shallow,1.0,0.0176,16.8608679722557
0.15,deep,1.0,0.009,12.509463829224604
0.15,very_deep,1.0,0.0075,12.093799075033353
0.15,shallow,2.0,0.0124,15.501564525529105
0.15,deep,2.0,0.0172,11.308797623954527
0.15,very_deep,2.0,0.0174,9.44978389330277
0.2,shallow,0.0,0.0074,22.64583685238188
0.2,deep,0.0,0.0043,17.24536969751357
0.2,very_deep,0.0,0.0015,16.713258717406543
0.2,shallow,1.0,0.0028,20.229110734868517
0.2,deep,1.0,0.0034,15.597413396920263
0.2,very_deep,1.0,0.0035,16.007616236567497
0.2,shallow,2.0,0.0038,22.0802912686988
0.2,deep,2.0,0.0035,16.701478239704482
0.2,very_deep,2.0,0.009,15.055629881107807
0.25,shallow,0.0,0.0013,29.17538284426435
0.25,deep,0.0,0.0039,19.73214035596317
0.25,very_deep,0.0,0.0002,18.488285074186326
0.25,shallow,1.0,0.0005,26.0282709456414
0.25,deep,1.0,0.0012,23.76629735297343
0.25,very_deep,1.0,0.003,14.49711838358338
0.25,shallow,2.0,0.0024,29.747150663985195
0.25,deep,2.0,0.0037,19.047905532054617
0.25,very_deep,2.0,0.001,15.235092581683396
0.3,shallow,0.0,0.0015,34.14545391509811
0.3,deep,0.0,0.0001,37.80807238740744
0.3,very_deep,0.0,0.0002,32.34635009154081
0.3,shallow,1.0,0.001,33.610861452056476
0.3,deep,1.0,0.001,29.38822258653743
0.3,very_deep,1.0,0.0003,17.33134895874262
0.3,shallow,2.0,0.0004,35.70933289073212
0.3,deep,2.0,0.0004,24.325033247859775
0.3,very_deep,2.0,0.0014,23.304939297951012
